,MICAB,ULBP1,ULBP2,ULBP3,B7H6,HSPG,vimentin,CD70,PVR
K562,2.179142927,1.163939254,1.293078998,1.145110049,3.41115505,,,,
Raji,1.014221162,1.020251001,2.791238328,1.382054351,4.718277853,5.077844311,1.035087719,11.69122807,1.98245614
Ramos,1.032339925,1.342361268,1.351422543,2.014669153,4.657342669,4.477876106,0.967914439,1.240641711,1.863636364
Jurkat,2.080078861,1.287088873,3.200774755,1.148089255,3.658601575,2.617924528,1.059925094,1.037453184,32.06741573
U937,0.985867392,0.929132874,1.689505724,1.564554642,3.099877549,5.722222222,0.887387387,2.574324324,98.40990991
CCRF-CEM,1.005627811,1.82044639,3.033591983,1.110125889,2.415679703,4.718562874,0.846416382,0.883959044,2.235494881
MOLT-4,1.011863169,0.926702243,1.671818543,1.728605271,2.792109279,3.760683761,0.969432314,2.582969432,102.5873362
THP-1,1.032844761,0.975529795,2.420872003,3.073467697,2.927879026,3.874172185,0.941258741,8.521678322,61.7048951
Kasumi-1,1.024181644,1.046659848,2.217108263,1.636757293,2.375016303,2.125984252,0.931750742,0.955489614,19.71810089
Kasumi-3,1.30075122,1.137369797,2.250911282,3.078741506,2.08086074,3.392857143,0.938538206,6.197674419,64.94850498
KG-1,1.549345533,1.020033367,1.742190663,1.755736513,2.546199561,4.379844961,0.62745098,0.562594268,15.70437406
MV4-11,0.945277067,0.878676064,1.37649585,1.953283005,2.30375188,3.792746114,0.952380952,1.448412698,54.12698413
HL-60,1.03420307,0.9711184,1.495897145,1.896006796,3.045173352,2.63125,0.856015779,0.82642998,30.69625247
MDA-MB-231,1.087479839,0.971861559,7.916599462,2.908198925,0.977922824,,,,
Huh7,3.247777778,1.152649573,1.032820513,2.699786325,1.109059365,,,,
HepG2,1.279913989,0.964710347,0.942828232,1.21192765,2.55958816,,,,
SK-BR-3,0.9953125,1.0671875,1.455580357,3.433482143,1.027871425,,,,
SK-OV-3,1.382964865,1.493895516,2.942670626,9.373053071,1.284769242,,,,
AU565,0.997381636,1.482998565,2.376219512,1.704949785,1.083915279,,,,
MCF-7,3.571355788,1.218515042,1.86437674,1.811260439,1.253770889,,,,
U87-MG,2.726281015,1.908979355,3.459999288,3.792074387,1.448052579,,,,
BCPAP,1.75980515,1.650899712,3.136853249,3.536821192,1.412518265,,,,
850-5c,4.633488547,1.88032288,7.572827879,6.209539093,2.656003786,,,,
Ca ski,2.652348632,1.572652057,4.657872123,4.212511948,1.554606742,,,,
H460,2.158619382,1.575927936,2.666912221,3.514578164,2.12197724,,,,
DLD1,2.584933974,2.320228091,4.230372149,7.2530012,4.083246116,,,,
SW480,1.935032676,1.948198646,2.931740147,5.29022774,2.233255501,,,,
PC-9,1.709965438,1.556968569,1.578776734,2.302478436,2.42519317,,,,
ACHN,2.60053,2.034245,2.548701,3.798499667,1.350892,,,,
A498,1.988002,1.581161333,1.964576,2.126786,1.527018667,,,,
786-0,2.712774667,1.658345667,2.611336333,3.315338667,1.514864667,,,,
HCT116,4.848352,2.469949667,3.197335333,5.058508667,1.533234667,,,,
HT29,3.669788667,1.799770667,2.212863333,2.619006,2.033915,,,,
SW620,2.57409,1.821634333,3.145864667,6.826723,5.472721333,,,,